name;battue;latitude;longitude;horizontalAccuracy;verticalAccuracy;line_offset_x;line_offset_y;number_offset_x;number_offset_y
5;PRE ADAM;49.7379236156587;5.12054194696724;5.54472442288428;8;;;12;-8
6;PRE ADAM;49.7371149296407;5.1199585665065;4.88599985687347;12;;;-2;-2
7;PRE ADAM;49.7361874942411;5.11942001851424;4.67866280771936;3.45465647560687;;;-4;-4
8;PRE ADAM;49.7354118526448;5.1197532098788;4.86754706632226;8;;;-3;0
9;PRE ADAM;49.734748798138;5.12005728852505;4.64428962492899;3.50073005422666;;;-4;-2
10;PRE ADAM;49.7341814483905;5.12079981290519;5.46637741379917;2.47742140594096;;;;
11;PRE ADAM;49.7336930416152;5.12146702855422;4.91650848457866;3.10684427576519;;;;
12;PRE ADAM;49.7329757782166;5.12228278443694;4.60481172525534;3.55249855844303;;;6;-4
13;PRE ADAM;49.7321145235995;5.12295653293688;4.78488996816634;3.30595901749098;;;9;-6
14;PRE ADAM;49.7314575363964;5.12336310848122;11.5328171080076;11.9999999999999;;;10;-5
15;PRE ADAM;49.7306105668745;5.12388333909873;4.84319011734451;3.21994511134046;;;13;-5
16;PRE ADAM;49.7299177246631;5.12415052392066;4.03775554915928;4;;;11;-4
17;PRE ADAM;49.7291621864559;5.12400529018254;5.14445622631879;2.71276743719004;;;5;-6
18;PRE ADAM;49.7284825752021;5.12478788383782;4.55201192147703;8;;;10;-5
19;PRE ADAM;49.7279590196965;5.12531624355389;4.85562877756251;3.20115701072217;;;15;-4
20;PRE ADAM;49.7270434443371;5.1258959714371;8.45221301581767;12;;;17;-9
