name;battue;latitude;longitude;horizontalAccuracy;verticalAccuracy;line_offset_x;line_offset_y;number_offset_x;number_offset_y
1;LES BRULES;49.63646449933755;5.605127783282366;4.696940484607035;3.429764877779272;;;;;
2;LES BRULES;49.63589716241661;5.604485208173845;3.635730645758339;4;;;;;
3;LES BRULES;49.63611621641579;5.603590370909031;4.681148391060733;3.45128769789746;;;;;
4;LES BRULES;49.63631517072499;5.602818004904155;4.608769570091764;3.547362412072526;;;;;
5;LES BRULES;49.63641060301145;5.60206696548553;4.684734341103987;3.446418602849895;;;;;
6;LES BRULES;49.63642752526624;5.60007944319436;4.708441593080064;3.413958815999763;;;;;
7;LES BRULES;49.63650416314235;5.593157566942085;4.711199390615086;3.410152098463773;;;;;
8;LES BRULES;49.63642063774357;5.599422680481189;4.709710120079642;3.412208612850077;;;;;
9;LES BRULES;49.63648149753021;5.597945226284714;4.796335188200093;3.289332119932923;;;;;
10;LES BRULES;49.63643138994075;5.597109629672759;4.754914126622221;3.348929482870203;;;;;
11;LES BRULES;49.63649691541259;5.595790219497992;4.719663065443848;3.398428693010052;;;;;
12;LES BRULES;49.63651444219244;5.594468409704967;4.71345982746128;3.407027074693935;;;;;
13;LES BRULES;49.63650416314235;5.593157566942085;4.711199390615086;3.410152098463773;;;;;
14;LES BRULES;49.63991207836163;5.587646575440496;4.687441705280556;3.442735437466165;;;;;
15;LES BRULES;49.63991207836163;5.587646575440496;4.687441705280556;3.442735437466165;;;;;
16;LES BRULES;49.64026443285812;5.588344639703601;4.734564529633766;3.377637598606848;;;;;
P;LES BRULES;49.6315025311213;5.58171604658555;;;;;;
17;LES BRULES;49.64071827824932;5.589267368912717;4.798454318564263;3.286239976849045;;;;;
18;LES BRULES;49.64113817762082;5.590834119903819;4.760321004160948;3.341239436217187;;;;;
D;LES BRULES;49.6294947497234;5.58224387872207;;;;;;
19;LES BRULES;49.64254929223096;5.599664272745699;4.574717650336281;6.000467950660352;;;;;
20;LES BRULES;49.64143093679998;5.600700778891892;3.535533905932737;4;;;;;
21;LES BRULES;49.6406753920481;5.601457329472155;4.193812505532148;6;;;;;
22;LES BRULES;49.6406753920481;5.601457329472155;4.193812505532148;6;;;;;
23;LES BRULES;49.63940291574699;5.602529445854778;4.802985300141629;3.279614190634664;;;;;
24;LES BRULES;49.63886609420838;5.602987937697383;5.197690745607695;2.609319441121183;;;;;
25;LES BRULES;49.63812577338903;5.603595877185915;4.744170409678577;3.364132006434802;;;;;
26;LES BRULES;49.63741077139579;5.604253111083328;4.832751463989694;3.235591185563205;;;;;
27;LES BRULES;49.63693550514527;5.60470461439369;4.786915627012817;3.303025251591232;;;;;
